aci_node_id,aci_port_num,apstra_port_num
801,1,et-0/0/2
801,2,et-0/0/3
801,3,et-0/0/4
801,4,et-0/0/5
801,5,et-0/0/6
801,6,et-0/0/7
801,7,et-0/0/8
801,8,et-0/0/9
801,9,et-0/0/10
801,10,et-0/0/11
801,11,et-0/0/12
801,12,et-0/0/13
801,13,et-0/0/14
801,14,et-0/0/15
801,15,et-0/0/16
801,16,et-0/0/17
801,17,et-0/0/18
801,18,et-0/0/19
801,19,et-0/0/20
801,20,et-0/0/21
801,21,et-0/0/22
801,22,et-0/0/23
801,23,et-0/0/24
801,24,et-0/0/25
801,25,et-0/0/26
801,26,et-0/0/27
801,27,et-0/0/28
801,28,et-0/0/29
801,29,et-0/0/30
801,30,et-0/0/31
801,31,et-0/0/32
801,32,et-0/0/33
801,33,et-0/0/34
801,34,et-0/0/35
801,35,et-0/0/36
801,36,et-0/0/37
801,37,et-0/0/38
801,38,et-0/0/39
801,39,et-0/0/40
801,40,et-0/0/41
801,41,et-0/0/42
801,42,et-0/0/43
801,43,et-0/0/44
801,44,et-0/0/45
801,45,et-0/0/46
801,46,et-0/0/47
801,47,et-0/0/48
801,48,et-0/0/49
802,1,et-0/0/2
802,2,et-0/0/3
802,3,et-0/0/4
802,4,et-0/0/5
802,5,et-0/0/6
802,6,et-0/0/7
802,7,et-0/0/8
802,8,et-0/0/9
802,9,et-0/0/10
802,10,et-0/0/11
802,11,et-0/0/12
802,12,et-0/0/13
802,13,et-0/0/14
802,14,et-0/0/15
802,15,et-0/0/16
802,16,et-0/0/17
802,17,et-0/0/18
802,18,et-0/0/19
802,19,et-0/0/20
802,20,et-0/0/21
802,21,et-0/0/22
802,22,et-0/0/23
802,23,et-0/0/24
802,24,et-0/0/25
802,25,et-0/0/26
802,26,et-0/0/27
802,27,et-0/0/28
802,28,et-0/0/29
802,29,et-0/0/30
802,30,et-0/0/31
802,31,et-0/0/32
802,32,et-0/0/33
802,33,et-0/0/34
802,34,et-0/0/35
802,35,et-0/0/36
802,36,et-0/0/37
802,37,et-0/0/38
802,38,et-0/0/39
802,39,et-0/0/40
802,40,et-0/0/41
802,41,et-0/0/42
802,42,et-0/0/43
802,43,et-0/0/44
802,44,et-0/0/45
802,45,et-0/0/46
802,46,et-0/0/47
802,47,et-0/0/48
802,48,et-0/0/49
961,1,et-0/0/2
961,2,et-0/0/3
961,3,et-0/0/4
961,4,et-0/0/5
961,5,et-0/0/6
961,6,et-0/0/7
961,7,et-0/0/8
961,8,et-0/0/9
961,9,et-0/0/10
961,10,et-0/0/11
961,11,et-0/0/12
961,12,et-0/0/13
961,13,et-0/0/14
961,14,et-0/0/15
961,15,et-0/0/16
961,16,et-0/0/17
961,17,et-0/0/18
961,18,et-0/0/19
961,19,et-0/0/20
961,20,et-0/0/21
961,21,et-0/0/22
961,22,et-0/0/23
961,23,et-0/0/24
961,24,et-0/0/25
961,25,et-0/0/26
961,26,et-0/0/27
961,27,et-0/0/28
961,28,et-0/0/29
961,29,et-0/0/30
961,30,et-0/0/31
961,31,et-0/0/32
961,32,et-0/0/33
961,33,et-0/0/34
961,34,et-0/0/35
961,35,et-0/0/36
961,36,et-0/0/37
961,37,et-0/0/38
961,38,et-0/0/39
961,39,et-0/0/40
961,40,et-0/0/41
961,41,et-0/0/42
961,42,et-0/0/43
961,43,et-0/0/44
961,44,et-0/0/45
961,45,et-0/0/46
961,46,et-0/0/47
961,47,et-0/0/48
961,48,et-0/0/49
1062,1,et-0/0/2
1062,2,et-0/0/3
1062,3,et-0/0/4
1062,4,et-0/0/5
1062,5,et-0/0/6
1062,6,et-0/0/7
1062,7,et-0/0/8
1062,8,et-0/0/9
1062,9,et-0/0/10
1062,10,et-0/0/11
1062,11,et-0/0/12
1062,12,et-0/0/13
1062,13,et-0/0/14
1062,14,et-0/0/15
1062,15,et-0/0/16
1062,16,et-0/0/17
1062,17,et-0/0/18
1062,18,et-0/0/19
1062,19,et-0/0/20
1062,20,et-0/0/21
1062,21,et-0/0/22
1062,22,et-0/0/23
1062,23,et-0/0/24
1062,24,et-0/0/25
1062,25,et-0/0/26
1062,26,et-0/0/27
1062,27,et-0/0/28
1062,28,et-0/0/29
1062,29,et-0/0/30
1062,30,et-0/0/31
1062,31,et-0/0/32
1062,32,et-0/0/33
1062,33,et-0/0/34
1062,34,et-0/0/35
1062,35,et-0/0/36
1062,36,et-0/0/37
1062,37,et-0/0/38
1062,38,et-0/0/39
1062,39,et-0/0/40
1062,40,et-0/0/41
1062,41,et-0/0/42
