cisco_model,device_profile,panel_1_count,panel_1_speed,panel_2_count,panel_2_speed,panel_3_count,panel_3_speed,panel_4_count,panel_4_speed,panel_5_count,panel_5_speed,panel_6_count,panel_6_speed,panel_7_count,panel_7_speed,panel_8_count,panel_8_speed
N9K-9348GC-FXP,Cisco_9348GC_FXP,48,1G,4,25G,2,100G,0,0,0,0,0,0,0,0,0,0
N9K-9364C,Cisco_9364C_NXOS,64,100G,2,10G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-9364C-GX,Cisco_9364C_GX_NXOS,64,100G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N9K-9372TX,Cisco_9372TX_NXOS,48,10G,6,40G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-93108TC-EX,Cisco_93108TC_EX_NXOS,48,10G,6,40G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-C93108TC-FX,Cisco_93108TC_FX_NXOS,48,10G,6,100G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-93108TC-FX3P,Cisco_93108TC_FX3P_NXOS,48,10G,6,100G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-93180LC-EX,Cisco_93180LC_EX_NXOS_default_template,32,40G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N9K-93180YC-EX,Cisco_93180YC_EX_NXOS,48,25G,6,100G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-C93180YC-FX,Cisco_93180YC_FX_NXOS,48,25G,6,100G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-93180YC-FX3,Cisco_93180YC_FX3_NXOS,48,25G,6,100G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-93180YC-FX3S,Cisco_93180YC_FX3S_NXOS,48,25G,6,100G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-C9332C,Cisco_9332C_NXOS,32,100G,2,10G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-C9332PQ,Cisco_9332PQ_NXOS,32,40G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N9K-C9336C-FX2,Cisco_9336_FX2_NXOS,36,100G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N9K-C9372PX,Cisco_9372PX_NXOS,48,10G,6,40G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-C9396PX,Cisco_9396PX_NXOS,48,10G,12,40G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-C9504,Cisco_C9504_4x9432PQ,32,40G,32,40G,32,40G,32,40G,0,0,0,0,0,0,0,0
N9K-C9508,Cisco_C9508_X9736C_EX,36,100G,36,100G,36,100G,36,100G,36,100G,36,100G,36,100G,36,100G
C9508 8x9732C-EX MDP,Cisco C9508 8x9732C-EX MDP,32,100G,32,100G,32,100G,32,100G,32,100G,32,100G,32,100G,32,100G
N9K-C93240YC-FX2,Cisco_93240YC-FX2_NXOS,48,25G,12,100G,0,0,0,0,0,0,0,0,0,0,0,0
N9K-C93360YC-FX2,Cisco_C93360YC_FX2_NXOS,96,25G,12,100G,0,0,0,0,0,0,0,0,0,0,0,0
